"Santa Rosa city, CA","136,898","120,499"
"Tallahassee city, FL","135,938","125,448"
"Pasadena city, CA","135,698","131,735"
"Santa Clarita city, CA","133,887","123,610"
"Pasadena city, TX","133,660","119,389"
"Hollywood city, FL","131,828","122,793"
"Hayward city, CA","131,053","114,640"
"Flint city, MI","130,853","141,367"
"Eugene city, OR","130,501","113,913"
"Salem city, OR","129,650","108,846"
"Savannah city, GA","129,556","137,628"
"Aurora city, IL","129,371","100,279"
"Hartford city, CT","128,367","137,289"
"Lansing city, MI","127,716","126,932"
"Sunnyvale city, CA","127,324","117,311"
"Orange city, CA","125,686","110,641"
"Sterling Heights city, MI","124,571","117,814"
"Topeka city, KS","124,529","120,847"
"Lancaster city, CA","123,962","98,445"
"Rancho Cucamonga city, CA","123,724","101,385"
"Salinas city, CA","123,607","108,863"
"Fullerton city, CA","123,243","113,419"
"Naperville city, IL","122,993","86,958"
"Escondido city, CA","122,544","109,026"
"New Haven city, CT","122,195","130,191"
"Evansville city, IN","121,864","126,172"
"Pembroke Pines city, FL","121,279","65,454"
"Corona city, CA","119,594","76,181"
"Thousand Oaks city, CA","119,192","104,000"
"Vancouver city, WA","118,743","104,531"
"Concord city, CA","117,891","111,197"
"Springfield city, IL","117,876","107,265"
"Independence city, MO","117,545","112,402"
"Alexandria city, VA","117,390","111,183"
"Lafayette city, LA","116,806","102,529"
"Sioux Falls city, SD","116,720","101,461"
"Mesquite city, TX","116,179","101,753"
"Coral Springs city, FL","116,136","79,137"
"Cedar Rapids city, IA","115,777","108,854"
"Grand Prairie city, TX","114,906","99,496"
"Fontana city, CA","114,882","87,868"
"Simi Valley city, CA","114,247","100,311"
"Vallejo city, CA","114,204","110,835"
"Inglewood city, CA","113,607","110,454"
"Fort Collins city, CO","113,432","88,899"
"Macon city, GA","113,336","106,590"
"El Monte city, CA","112,885","106,154"
"Columbia city, SC","111,821","114,462"
"Palmdale city, CA","111,272","77,296"
"Peoria city, IL","111,127","113,822"
"Stamford city, CT","110,802","108,107"
"Provo city, UT","110,690","87,136"
"Elizabeth city, NJ","110,586","110,138"
"McAllen city, TX","110,292","85,623"
"Gary city, IN","110,271","116,587"
"Ann Arbor city, MI","109,750","110,168"
"Beaumont city, TX","109,697","114,417"
"Abilene city, TX","108,995","106,925"
"Waco city, TX","108,520","103,924"
"Berkeley city, CA","108,319","102,847"
"Fayetteville city, NC","106,970","112,644"
"Bellevue city, WA","105,521","98,628"
"Waterbury city, CT","104,263","108,213"
"Costa Mesa city, CA","103,864","96,849"
"Pueblo city, CO","103,852","99,009"
"Carrollton city, TX","103,311","82,591"
"Manchester city, NH","102,830","99,217"
"West Valley City city, UT","102,718","86,999"
"Sandy city, UT","101,853","76,325"
"North Las Vegas city, NV","101,841","47,956"
"Erie city, PA","101,474","108,717"
"Lowell city, MA","101,103","103,428"
"Livonia city, MI","100,160","100,864"
"Allentown city, PA","100,160","105,473"
"San Buenaventura (Ventura) city, CA","100,152","93,628"
"West Covina city, CA","100,106","95,915"
"Santa Clara city, CA","100,048","93,349"
